"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1918","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1923","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2262","Registration with correct email, username and password","tests.authentication","2026-07-09","passed","2026-07-09","TestRegistration","test_registration","",""
"","2030","Check displaying of dashboard page","tests.dashboard","2026-07-09","passed","2026-07-09","TestDashboard","test_dashboard","",""
"","2418","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","5616","Edit course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","2431","Check displaying of dashboard page","tests.dashboard","2026-07-09","passed","2026-07-09","TestDashboard","test_dashboard","",""
"","1684","Check displaing of empty courses list","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","1453","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1530","Navigation from login page to registration page","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1918","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1672","Navigation from login page to registration page","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2510","Create course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","1924","Check displaing of empty courses list","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","2965","User login with correct email and password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","3935","Edit course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","1871","Registration with correct email, username and password","tests.authentication","2026-07-09","passed","2026-07-09","TestRegistration","test_registration","",""
"","3062","Create course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","2030","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","9639","User login with correct email and password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
