"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1836","Check displaying of dashboard page","tests.dashboard","2026-07-09","passed","2026-07-09","TestDashboard","test_dashboard","",""
"","2854","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2116","Check displaying of dashboard page","tests.dashboard","2026-07-09","passed","2026-07-09","TestDashboard","test_dashboard","",""
"","1508","Check displaing of empty courses list","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","5061","Edit course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","1597","Navigation from login page to registration page","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2254","Registration with correct email, username and password","tests.authentication","2026-07-09","passed","2026-07-09","TestRegistration","test_registration","",""
"","9903","User login with correct email and password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1559","Navigation from login page to registration page","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2092","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2109","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2052","Registration with correct email, username and password","tests.authentication","2026-07-09","passed","2026-07-09","TestRegistration","test_registration","",""
"","5172","Edit course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","2988","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","3744","User login with correct email and password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2778","Create course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","2209","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1752","Check displaing of empty courses list","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","1991","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2679","Create course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
