"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1533","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","1630","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","1982","Create course","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","4423","Edit course","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","1534","Check displaing of empty courses list","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","1418","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","1363","Navigation from login page to registration page","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","2369","User login with correct email and password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","1192","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","1961","Check displaying of dashboard page","tests.dashboard","2026-07-10","passed","2026-07-10","TestDashboard","test_dashboard","",""
"","2514","Create course","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","1675","Registration with correct email, username and password","tests.authentication","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"","1234","Check displaing of empty courses list","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","1958","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","7291","User login with correct email and password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","3100","Edit course","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","1620","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","1686","Check displaying of dashboard page","tests.dashboard","2026-07-10","passed","2026-07-10","TestDashboard","test_dashboard","",""
"","1349","Navigation from login page to registration page","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","1764","Registration with correct email, username and password","tests.authentication","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
