"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1826","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1736","Registration with correct email, username and password","tests.authentication","2026-07-09","passed","2026-07-09","TestRegistration","test_registration","",""
"","1313","Check displaing of empty courses list","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","4096","Edit course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","1703","Registration with correct email, username and password","tests.authentication","2026-07-09","passed","2026-07-09","TestRegistration","test_registration","",""
"","1752","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1731","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1546","Check displaing of empty courses list","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","1497","Check displaying of dashboard page","tests.dashboard","2026-07-09","passed","2026-07-09","TestDashboard","test_dashboard","",""
"","2419","User login with correct email and password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","2471","Create course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","7072","User login with correct email and password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1532","Navigation from login page to registration page","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1620","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1546","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1432","Navigation from login page to registration page","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","1888","User login with wrong email or password","tests.authentication","2026-07-09","passed","2026-07-09","TestAutorization","test_authorization","",""
"","3238","Edit course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
"","1857","Check displaying of dashboard page","tests.dashboard","2026-07-09","passed","2026-07-09","TestDashboard","test_dashboard","",""
"","2432","Create course","tests.courses","2026-07-09","passed","2026-07-09","TestCourses","test_courses","",""
